Registration,Make,Model,Color,Year,EngineSize
AH15DUW,Honda,Jazz,White,2015,1499
AH15RHW,Volkswagen,Up,Red,2015,1399
AHD553L,Audi,A4,Purple,1971,1498
AHE235J,Mini,Cooper,Red,1973,1700
AHK975D,Seat,Ibiza,Green,1979,1795
AHT217D,Peugeot,208,Turquoise,1979,1699
AJ09YUF,Seat,Arona,Black,2009,995
AJ15FTE,Volkswagen,Polo,Gold,2015,1400
AJ16XNK,Nissan,Qashqai,Silver,2016,2099
AJL714L,Chevrolet,Matiz,White,1971,1800
AK09HGH,Audi,Q5,Gold,2009,1495
AK16CRM,Kia,Sportage,Red,2016,1196
AL02WWW,Audi,A1,Purple,2002,1298
AL14BMN,Vauxhall,Astra,Green,2014,1598
AL18LFE,Volkswagen,Passat,Turquoise,2018,1597
AL19PBU,Bmw,X5,Yellow,2019,1696
ALB243L,Audi,Q5,Orange,1971,1695
AM04THR,Ford,Focus,White,2004,1695
AM05EAN,Ford,Fiesta,Red,2005,1499
AM06JVC,Volkswagen,Passat,Blue,2006,1500
AM09VFK,Ford,Focus,White,2009,1599
AM17WKW,Ford,Ka,Black,2017,1197
AMN110E,Renault,Clio,Grey,1978,1897
AMU913B,Citroen,Xsara,Silver,1981,1596
AN01TLK,Hyundai,I20,Yellow,2001,1697
AN05KTR,Chevrolet,Aveo,Yellow,2005,1600
AN11PMT,Peugeot,206,Gold,2011,1396
AN17MBB,Mitsubishi,Colt,White,2017,1800
AP04ADC,Toyota,Aygo,Green,2004,1396
AP05APE,Suzuki,Swift,Orange,2005,1698
AP08GAJ,Vauxhall,Agila,Gold,2008,1700
AP14AUU,Volkswagen,Passat,Gold,2014,1498
AP18HDD,Honda,Civic,Yellow,2018,1396
AP20FYV,Ford,Focus,Yellow,2020,1697
APR154E,Peugeot,3008,White,1978,1699
AR05BGB,Honda,Jazz,Orange,2005,1500
AR09BDK,Audi,Q5,Blue,2009,1697
AR12FUU,Ford,Focus,Gold,2012,1096
AR16YXV,Mini,One,Gold,2016,995
AR20DKT,Mini,One,Yellow,2020,1597
ARU320G,Ford,Mondeo,Red,1976,1800
ARW101K,Ford,Fiesta,Yellow,1972,1498
AT01FFW,Volvo,V50,Grey,2001,1999
AT06GMR,Nissan,Note,Silver,2006,1298
AT10KJH,Vauxhall,Zafira,Turquoise,2010,1400
AT18MGF,Volkswagen,Golf,White,2018,1499
ATL550G,Vauxhall,Zafira,Silver,1976,1295
ATM690J,Ds,Ds3,Silver,1973,1395
AU06XKN,Ford,Kuga,Turquoise,2006,1497
AU11UPH,Ford,Fiesta,White,2011,1495
AU17VBF,Volkswagen,Fox,Purple,2017,1599
AU20HRB,Honda,Accord,Gold,2020,1798
AUE648C,Citroen,C3,Grey,1980,1400
AUK287G,Toyota,Rav4,Blue,1976,1698
AUM441B,Honda,Crv,Yellow,1981,1597
AUT153F,Ford,Fiesta,Silver,1977,1696
AV04CEH,Volkswagen,Golf,Silver,2004,1998
AV08JVM,Ford,Focus,Silver,2008,1598
AV17HUW,Renault,Clio,Silver,2017,1895
AVB643F,Audi,A3,Orange,1977,1698
AVR375D,Abarth,595,Black,1979,1700
AW01TBT,Mini,Cooper,Orange,2001,1897
AX01URJ,Toyota,Rav4,White,2001,1398
AX15XBH,Subaru,Impreza,Blue,2015,2100
AX20MYC,Ford,Fiesta,Red,2020,1198
AXL581F,Toyota,Prius,Blue,1977,1795
AXP218L,Ford,Fiesta,Silver,1971,1800
AXX361H,Toyota,Yaris,Purple,1975,1396
AY02WCE,Ford,Focus,Yellow,2002,1695
AY13DME,Ford,Focus,Yellow,2013,1395
AY17GPV,Nissan,Qashqai,Yellow,2017,1400
AY19WUC,Vauxhall,Corsa,Silver,2019,1199
AY20NUF,Seat,Ibiza,Blue,2020,1497
AYL683F,Mitsubishi,Outlander,Red,1977,1400
AYW464B,Toyota,Auris,Yellow,1981,1396
B101MND,Citroen,C4,Turquoise,2000,1598
B106YKY,Porsche,Cayenne,Green,2000,1397
B137AGY,Vauxhall,Corsa,Black,2000,1600
B138BEF,Ford,Ecosport,Gold,2000,1699
B156KGC,Toyota,Rav4,Turquoise,2000,1699
B163VNE,Triumph,Stag,Grey,2000,1596
B201DNF,Ford,Focus,Orange,2000,1797
B207PRX,Kia,Stonic,Yellow,2000,1395
B216EUK,Honda,Jazz,Orange,2000,1395
B220YBM,Vauxhall,Insignia,Yellow,2000,1497
B259CUG,Volkswagen,Golf,Yellow,2000,1496
B268PWG,Dodge,Nitro,Green,2000,1195
B285FNH,Volkswagen,Golf,Black,2000,1795
B288XFT,Toyota,Iq,Gold,2000,1499
B290EVH,Citroen,C3,Red,2000,1696
B292WWT,Ford,Ecosport,Gold,2000,1596
B320TRY,Audi,A3,Red,2000,1796
B324DRJ,Skoda,Fabia,Grey,2000,1599
B330LJE,Peugeot,208,White,2000,1396
B352EFC,Fiat,500,Red,2000,1595
B352EJF,Hyundai,Tucson,Yellow,2000,1896
B362EJP,Kia,Niro,Green,2000,895
B364KKN,Ford,Galaxy,Yellow,2000,1900
B376HXV,Mini,Cooper,Orange,2000,1295
B387VRA,Citroen,Ds3,Yellow,2000,1600
B390CNE,Vauxhall,Astra,Silver,2000,1498
B391HUD,Hyundai,I30,Purple,2000,1697
B400WLJ,Renault,Captur,Green,2000,1297
B404DJY,Seat,Leon,Gold,2000,1395
B424JEG,Ford,Mondeo,Red,2000,1498
B431RGU,Subaru,Legacy,Green,2000,1796
B433PXT,Kia,Sportage,Gold,2000,1595
B442MFY,Peugeot,Rifter,Silver,2000,1900
B457NHE,Ford,Mondeo,White,2000,1499
B481PMD,Toyota,Prius,Red,2000,1699
B482HEV,Peugeot,107,Green,2000,1498
B486DMK,Skoda,Fabia,Gold,2000,1495
B486WTN,Mini,One,Black,2000,1296
B491VJE,Ford,Focus,Green,2000,1597
B492GNE,Skoda,Fabia,Turquoise,2000,1699
B495DDD,Ford,Fiesta,Silver,2000,1795
B504XTH,Peugeot,308,Yellow,2000,1398
B507UXV,Mini,Cooper,Yellow,2000,1198
B528UHW,Ford,Fiesta,Blue,2000,1398
B559NAB,Volvo,V40,Gold,2000,1397
B560DFL,Audi,A4,Green,2000,1499
B580UBB,Audi,A3,Silver,2000,1595
B588AXH,Volkswagen,Golf,Red,2000,1495
B592NLA,Ford,Kuga,White,2000,1396
B631THP,Nissan,Qashqai,Turquoise,2000,1600
B633XDX,Seat,Ateca,Yellow,2000,1600
B655UPV,Honda,Crv,Gold,2000,1397
B666VDL,Vauxhall,Corsa,Turquoise,2000,1699
B671EXX,Volvo,V50,Grey,2000,1595
B674VKM,Lexus,Rx300,Green,2000,1497
B693GFG,Honda,Civic,Green,2000,1498
B732VAP,Peugeot,206,Orange,2000,1397
B750GKP,Honda,Jazz,Grey,2000,1797
B753JRY,Ford,Focus,Green,2000,1696
B754LLA,Toyota,Aygo,Orange,2000,1499
B754YFA,Suzuki,Splash,Blue,2000,1599
B765PKN,Vauxhall,Astra,Green,2000,1398
B769AVT,Ford,Kuga,Black,2000,1600
B770ETD,Audi,Sq5,Black,2000,1599
B776BMJ,Volkswagen,Passat,Blue,2000,1398
B779PXU,Nissan,Juke,Silver,2000,1898
B791HUR,Audi,A3,Orange,2000,1398
B801VLR,Kia,Picanto,Gold,2000,1196
B804GJC,Renault,Megane,Silver,2000,1600
B806ADV,Bmw,X3,Gold,2000,897
B814PRF,Skoda,Yeti,Grey,2000,1597
B816BYA,Renault,Scenic,Orange,2000,1796
B818EUN,Kia,Ceed,Orange,2000,1498
B823BVN,Vauxhall,Meriva,Orange,2000,1297
B836CRG,Toyota,Yaris,Blue,2000,1596
B840FDU,Triumph,Stag,Silver,2000,1599
B862DEE,Toyota,Aygo,Turquoise,2000,1499
B883XUY,Ford,Escort,Grey,2000,1499
B902GHD,Citroen,C4,Red,2000,1497
B902JLD,Renault,Megane,Green,2000,1500
B902UKX,Nissan,Juke,Grey,2000,1400
B926ANU,Renault,Clio,Grey,2000,1699
B961LCC,Audi,A3,White,2000,1300
B972MCR,Bmw,X3,Black,2000,2098
B976CRK,Mazda,3,Orange,2000,1998
B982NUC,Volkswagen,Golf,Silver,2000,1400
BA08CFT,Ford,Kuga,Turquoise,2008,1695
BA17NHT,Hyundai,I10,Blue,2017,1398
BAN451F,Fiat,500,Red,1977,1597
BAR506H,Vauxhall,Astra,Blue,1975,1498
BB04PPE,Toyota,Aygo,Gold,2004,1497
BB12VUY,Volkswagen,Polo,Grey,2012,1499
BB20GLM,Skoda,Fabia,Black,2020,1300
BBC689G,Mini,Countryman,Gold,1976,1897
BBD572D,Skoda,Citigo,White,1979,1598
BBF219K,Volkswagen,Golf,Purple,1972,1199
BBV356B,Volvo,Xc40,Silver,1981,1297
BBY617K,Fiat,Punto,Purple,1972,1295
BC02HTM,Renault,Clio,White,2002,1597
BCV363E,Hyundai,I30,White,1978,1696
BD07KDK,Hyundai,I10,Blue,2007,1500
BD08FHE,Renault,Clio,Turquoise,2008,1795
BD16AHV,Volkswagen,Golf,Gold,2016,1700
BDB356H,Renault,Captur,Grey,1975,1195
BDL273E,Honda,Crv,Gold,1978,1500
BDW998D,Mazda,2,Red,1979,1395
BE13PUC,Kia,Rio,Grey,2013,1695
BE15YNY,Volkswagen,Golf,Blue,2015,1598
BEE241I,Toyota,Auris,Grey,1974,1495
BEL664H,Kia,Stonic,Yellow,1975,1498
BET642C,Ford,Fiesta,White,1980,1699
BEW127C,Bmw,X3,Gold,1980,1696
BEX282J,Suzuki,Vitara,Yellow,1973,1497
BF06LUL,Skoda,Octavia,Red,2006,1296
BFG691D,Hyundai,I30,Blue,1979,1400
BFJ209I,Vauxhall,Corsa,Gold,1974,1496
BFP805I,Ford,Focus,Grey,1974,1599
BFU518F,Peugeot,206,Orange,1977,1498
BFU704H,Honda,Jazz,Grey,1975,1700
BH03GUL,Volkswagen,Caddy,Grey,2003,1597
BH04CFA,Porsche,Cayenne,Gold,2004,1799
BH06ABF,Ford,Fiesta,Yellow,2006,1195
BH09XBT,Audi,A3,Black,2009,1400
BH17ECA,Honda,Crv,White,2017,1597
BHE146L,Volkswagen,Touareg,Orange,1971,1699
BHN536J,Toyota,Carina,White,1973,1300
BHN929G,Lexus,Is300,Gold,1976,996
BHU312C,Honda,Jazz,White,1980,1696
BHW386F,Audi,A4,Turquoise,1977,1497
BHW394D,Peugeot,107,Red,1979,1695
BJ09NCX,Kia,Rio,Purple,2009,1397
BJ15LJE,Ford,Fiesta,Green,2015,1598
BJ17BHD,Kia,Sportage,Silver,2017,1496
BJ18EUR,Audi,Q3,Black,2018,1300
BJ20LYH,Nissan,Micra,Black,2020,1299
BJE331I,Ford,Focus,Orange,1974,1497
BJF284J,Nissan,Micra,Green,1973,1500
BJG688J,Citroen,C1,Silver,1973,1400
BJH363L,Ford,Focus,Black,1971,1695
BJP307G,Seat,Exeo,Gold,1976,1500
BJT609H,Volkswagen,Golf,Black,1975,1900
BJY750H,Vauxhall,Zafira,Blue,1975,1399
BK01UYM,Ford,Focus,Black,2001,1400
BK04VFY,Vauxhall,Corsa,Red,2004,1400
BK07EFX,Audi,A5,Yellow,2007,1296
BK09EJU,Vauxhall,Zafira,Blue,2009,1395
BK09RUA,Peugeot,108,Orange,2009,1395
BK16BVD,Kia,Soul,Turquoise,2016,1398
BKM273L,Toyota,Yaris,Silver,1971,1595
BL10YLG,Mg,Midget,Yellow,2010,1697
BLD416J,Vauxhall,Astra,Silver,1973,1496
BLG708F,Peugeot,206,Orange,1977,1597
BLW306C,Seat,Leon,Red,1980,1499
BM01KPB,Vauxhall,Zafira,Blue,2001,1498
BM04ELV,Vauxhall,Insignia,Silver,2004,1897
BM15GVA,Volkswagen,Passat,Green,2015,1600
BM15YUK,Subaru,Outback,Silver,2015,1499
BM18MHD,Volkswagen,Golf,Red,2018,1499
BM19VKP,Audi,A1,Grey,2019,1395
BMK129I,Ford,Kuga,Purple,1974,1495
BMT540K,Suzuki,Ignis,Green,1972,1595
BN08ALC,Peugeot,407,Yellow,2008,1595
BN08KJU,Ds,Ds3,Gold,2008,1599
BNL305F,Toyota,Yaris,Gold,1977,1695
BP07KAM,Toyota,Avensis,Orange,2007,1200
BPN597B,Kia,Ceed,Silver,1981,1400
BPT276G,Seat,Ibiza,Turquoise,1976,1398
BPU787D,Honda,Jazz,Black,1979,1600
BR02PCM,Skoda,Fabia,Silver,2002,1396
BR06CMH,Volkswagen,Polo,Orange,2006,1399
BR06JXE,Porsche,Cayenne,Yellow,2006,1400
BRK548I,Ford,Fiesta,Yellow,1974,1299
BRL848J,Citroen,C4,Grey,1973,1396
BT03FAA,Vauxhall,Mokka,Orange,2003,2099
BT17REG,Volkswagen,Golf,Gold,2017,1695
BTF971F,Vauxhall,Viva,White,1977,1599
BTK132F,Mini,Countryman,Green,1977,1597
BTV853L,Citroen,Xsara,Silver,1971,1595
BU08DWY,Skoda,Fabia,Silver,2008,1097
BU09WBM,Ford,Mondeo,Orange,2009,1396
BU19TRH,Mini,Countryman,White,2019,1696
BUC665I,Peugeot,207,Blue,1974,1497
BUR780C,Volkswagen,Tiguan,White,1980,1696
BV02VKJ,Audi,Q3,Silver,2002,1399
BV02YDB,Skoda,Fabia,Green,2002,1599
BV12AGC,Ford,Mondeo,Black,2012,1699
BV13AMN,Ford,Fiesta,Silver,2013,1700
BV15WXG,Nissan,Qashqai,Yellow,2015,1398
BV17EGB,Lexus,Rx450,Silver,2017,1400
BVT672F,Nissan,Juke,Silver,1977,1896
BW02JRR,Ford,Focus,Purple,2002,1598
BW11WPJ,Volkswagen,Up,Silver,2011,1197
BW16TCL,Hyundai,I30,Orange,2016,1295
BWB643F,Nissan,Almera,Orange,1977,1296
BWW342G,Renault,Kangoo,White,1976,1598
BX02NCT,Renault,Captur,Gold,2002,1095
BX03RHE,Audi,Tt,White,2003,1500
BX09AGD,Vauxhall,Adam,Green,2009,1397
BX16TMY,Toyota,Corolla,Gold,2016,1497
BX16WXN,Renault,Scenic,Green,2016,1195
BXJ529E,Honda,Crv,Blue,1978,1400
BXL898D,Renault,Megane,Green,1979,1498
BXP716H,Suzuki,Vitara,Orange,1975,1796
BY04ULU,Seat,Leon,Orange,2004,1599
C134GCL,Toyota,Landcruiser,Grey,1999,1500
C136JTX,Ford,Focus,Red,1999,1798
C143WXX,Peugeot,3008,White,1999,1398
C150EDW,Ford,Fiesta,Silver,1999,1699
C150YRE,Fiat,500,Black,1999,1298
C165LHX,Peugeot,207,Turquoise,1999,1596
C217HJL,Audi,A4,Orange,1999,1397
C226WGB,Hyundai,I30,Black,1999,1597
C229NXJ,Skoda,Yeti,Gold,1999,1299
C236VHU,Fiat,Stilo,Green,1999,1797
C278WJH,Vauxhall,Astra,Turquoise,1999,1595
C298PEB,Toyota,Auris,White,1999,1697
C324JRD,Volkswagen,Polo,Yellow,1999,1395
C344BLV,Renault,Kadjar,Silver,1999,1400
C358MGG,Vauxhall,Corsa,Black,1999,1499
C365HYK,Honda,Civic,Red,1999,1696
C372AJP,Mini,Cooper,Green,1999,1500
C380HWK,Ford,Focus,Green,1999,996
C397VCA,Citroen,Xsara,Red,1999,1497
C404GMA,Renault,Clio,Turquoise,1999,1496
C411EET,Ford,Mondeo,Turquoise,1999,1500
C417KEY,Nissan,Micra,Blue,1999,1596
C419MWM,Vauxhall,Mokka,White,1999,1796
C424CDD,Citroen,C3,Turquoise,1999,1595
C433UWK,Hyundai,Tucson,Turquoise,1999,1596
C442MTC,Toyota,Yaris,Yellow,1999,1899
C461RDA,Vauxhall,Corsa,Blue,1999,1697
C485JKK,Mini,First,Yellow,1999,1900
C493RLK,Mazda,2,Grey,1999,1397
C546YYX,Ford,Fiesta,Turquoise,1999,1298
C578WPR,Citroen,Berlingo,Orange,1999,1395
C587TPA,Hyundai,I20,Black,1999,1697
C599NCA,Volkswagen,Golf,Grey,1999,1797
C626EBB,Hyundai,I800,Turquoise,1999,1399
C646MLV,Volkswagen,Golf,Gold,1999,1595
C649VNE,Peugeot,308,Orange,1999,1398
C659ERD,Volkswagen,Golf,Grey,1999,1296
C670UTK,Honda,Civic,Silver,1999,1297
C684TYN,Seat,Ibiza,Turquoise,1999,1295
C702JJP,Audi,A3,Purple,1999,1696
C706BCK,Vauxhall,Vectra,Turquoise,1999,1696
C706GJE,Hyundai,Ix20,Turquoise,1999,1496
C713RCH,Hyundai,Tucson,White,1999,1596
C724KWP,Skoda,Octavia,Gold,1999,1599
C746FWT,Bmw,X3,Silver,1999,1596
C749EHR,Peugeot,207,Purple,1999,1897
C753URW,Volkswagen,Polo,Yellow,1999,1497
C769FNX,Renault,Clio,Gold,1999,1398
C779UPX,Ford,Focus,Red,1999,1499
C792XCY,Ford,Fiesta,Gold,1999,1600
C804KEL,Mini,Countryman,Grey,1999,1696
C818NFE,Vauxhall,Mokka,Red,1999,1496
C824DDW,Renault,Captur,Red,1999,1499
C827BAC,Toyota,Yaris,Green,1999,1398
C842UWE,Ford,Focus,Yellow,1999,1595
C852CAD,Volkswagen,Golf,Red,1999,1696
C852XUT,Nissan,Micra,Black,1999,1598
C860BHJ,Vauxhall,Insignia,White,1999,1100
C863WNG,Toyota,Yaris,Red,1999,1900
C869BHJ,Volkswagen,Polo,White,1999,1898
C871JBK,Vauxhall,Corsa,Grey,1999,1498
C875TGH,Ford,Kuga,Gold,1999,1598
C897ACR,Audi,R8,Grey,1999,1495
C914CWY,Mini,One,Turquoise,1999,1900
C918XBE,Volkswagen,Polo,Green,1999,1595
C933VGF,Vauxhall,Corsa,Silver,1999,1496
C972WND,Volkswagen,Golf,Grey,1999,1600
C973PYC,Mazda,2,Blue,1999,1300
C993FJV,Audi,A4,White,1999,1396
CA07NTN,Renault,Scenic,White,2007,1900
CA08PDA,Nissan,Qashqai,Grey,2008,1395
CA11ERC,Citroen,C4,Orange,2011,1497
CA13RJT,Ford,Focus,Purple,2013,1397
CA17TPA,Vauxhall,Astra,Purple,2017,1597
CA18TLM,Bmw,X3,Green,2018,1600
CA20FYR,Nissan,Qashqai,Black,2020,1600
CAL279D,Peugeot,308,Purple,1979,1497
CAU626F,Vauxhall,Corsa,Turquoise,1977,1595
CAW378K,Kia,Sportage,Turquoise,1972,1399
CB03FMA,Toyota,Corolla,Green,2003,1496
CB05HJC,Citroen,C3,Purple,2005,1498
CB08TCU,Ford,Focus,Gold,2008,1497
CB11BLC,Honda,Jazz,Orange,2011,1596
CB15AKP,Ford,Focus,Red,2015,1495
CBA736C,Audi,A4,Silver,1980,1599
CBV757F,Ford,Focus,White,1977,1195
CC10WER,Vauxhall,Astra,Black,2010,1498
CC13YDD,Volkswagen,Passat,Silver,2013,1696
CCG785L,Toyota,Corolla,Gold,1971,1400
CCJ238K,Ford,Fiesta,Purple,1972,1397
CCX340K,Mini,Cooper,Turquoise,1972,1599
CD03BKG,Vauxhall,Insignia,Black,2003,1596
CD19YWP,Suzuki,Alto,White,2019,1800
CDA611C,Mini,Paceman,Yellow,1980,1296
CDK488K,Ford,Fiesta,Red,1972,1499
CE02URV,Vauxhall,Corsa,Yellow,2002,1297
CE05CDK,Mitsubishi,Grandis,Green,2005,1899
CE08FYW,Ford,Fiesta,Silver,2008,1497
CE13TXV,Vauxhall,Corsa,White,2013,1299
CE16PHC,Vauxhall,Grandland,White,2016,1600
CF18WRH,Ford,Fiesta,Gold,2018,1595
CG02WMC,Ford,Fiesta,White,2002,1296
CG03BKD,Volkswagen,Golf,Turquoise,2003,1399
CG03VUV,Ford,Mondeo,Black,2003,1398
CG14FYT,Vauxhall,Corsa,Grey,2014,1697
CGR545K,Ferrari,F8,Red,1972,1399
CH02CGR,Toyota,Aygo,Silver,2002,1298
CH14YUL,Ford,Kuga,Black,2014,1397
CHA647K,Fiat,500,Silver,1972,1499
CHJ276C,Suzuki,Celerio,Orange,1980,1796
CHK728I,Vauxhall,Mokka,Black,1974,1600
CHT406I,Honda,Jazz,Silver,1974,1500
CHW461F,Toyota,Rav4,Silver,1977,1399
CJ01CYJ,Volkswagen,Tiguan,Red,2001,1895
CJ04EDX,Ford,Fiesta,Red,2004,1400
CJ16GHG,Fiat,Panda,Gold,2016,1195
CJF134J,Volkswagen,Golf,Orange,1973,1396
CJM375B,Audi,A7,Gold,1981,1600
CJT690E,Vauxhall,Astra,Green,1978,1697
CK07MHF,Citroen,Ds4,Yellow,2007,1595
CK10PFR,Vauxhall,Crossland,Turquoise,2010,1695
CKJ473K,Ford,Focus,Blue,1972,1900
CKK517B,Peugeot,307,Yellow,1981,1797
CKL545G,Toyota,Yaris,Green,1976,1598
CKM381C,Vauxhall,Corsa,Red,1980,1795
CKP421K,Nissan,Qashqai,Blue,1972,1496
CL12HAY,Ford,Focus,Purple,2012,1695
CLV958B,Renault,Megane,Silver,1981,1499
CM04EPN,Nissan,Qashqai,Yellow,2004,1895
CM05DPT,Nissan,Micra,Gold,2005,1196
CM07FHV,Citroen,C4,Blue,2007,1600
CM07WND,Ford,Galaxy,White,2007,1497
CM12MEH,Ford,Fiesta,White,2012,1296
CM18XYT,Vauxhall,Corsa,Purple,2018,1400
CMF214K,Mazda,Cx3,Gold,1972,1596
CMK115D,Ford,Fiesta,Turquoise,1979,1495
CMT673D,Hyundai,I30,Turquoise,1979,1500
CMY864K,Toyota,Rav4,Blue,1972,1995
CN02CDH,Honda,Crv,Orange,2002,1195
CN03HCD,Vauxhall,Astra,Silver,2003,1599
CN05YRC,Mini,Countryman,Green,2005,1595
CN09TWD,Bmw,X5,Black,2009,1299
CP01TWM,Volkswagen,Golf,Yellow,2001,1300
CP02VEA,Audi,Tt,Orange,2002,1198
CP15AYD,Vauxhall,Vectra,Red,2015,1599
CPN863L,Volkswagen,Golf,Turquoise,1971,1599
CPR182B,Kia,Carens,Black,1981,1595
CR09BBL,Volkswagen,Passat,Black,2009,1699
CR10UDL,Vauxhall,Agila,Purple,2010,1398
CR13JTR,Vauxhall,Astra,Blue,2013,1798
CR18JKK,Mini,Cooper,Green,2018,1900
CRP328D,Ford,Mondeo,Red,1979,1400
CT07MNL,Ford,Focus,Purple,2007,1796
CT08ETE,Mini,Cooper,Silver,2008,1899
CT19DXF,Volkswagen,Golf,Gold,2019,2096
CT19GNV,Bmw,X5,Silver,2019,1300
CTE373F,Volkswagen,Golf,Grey,1977,1197
CTY130L,Skoda,Octavia,Blue,1971,1600
CU04ERU,Volkswagen,Touareg,Green,2004,1600
CU16UTN,Toyota,Auris,Gold,2016,1499
CU19XWM,Kia,Picanto,Yellow,2019,1397
CU20CWL,Vauxhall,Corsa,Turquoise,2020,1497
CUF347I,Kia,Sportage,Purple,1974,1697
CV12BAP,Ford,Focus,Green,2012,1800
CV12NAD,Renault,Clio,Orange,2012,1298
CW02GUL,Volkswagen,Touran,Blue,2002,1295
CW05NGF,Volkswagen,Tiguan,Turquoise,2005,1498
CW07BWP,Ford,Fiesta,Silver,2007,1600
CW09ELW,Fiat,Punto,Grey,2009,1299
CW16NAC,Mitsubishi,Asx,Red,2016,1495
CW18HTV,Citroen,Ds3,Blue,2018,1896
CWB771G,Rover,25,Blue,1976,1599
CWC300D,Nissan,Juke,Turquoise,1979,1397
CWK763K,Toyota,Corolla,Turquoise,1972,1495
CWK784B,Ford,Fiesta,Grey,1981,1599
CWX883D,Mg,3,Yellow,1979,1498
CX10KWP,Volkswagen,Tiguan,Black,2010,1595
CX17AGF,Nissan,Note,Orange,2017,1797
CX17WPJ,Mitsubishi,Asx,Red,2017,1399
CXG202L,Honda,Jazz,Silver,1971,1600
CXK564J,Peugeot,205,Red,1973,1597
CXR885B,Vauxhall,Corsa,Red,1981,1097
CY01VWJ,Skoda,Yeti,Gold,2001,1700
CY05ENX,Peugeot,207,Grey,2005,1499
CY07REJ,Ford,Fiesta,Purple,2007,1798
CYJ364L,Renault,Clio,Blue,1971,1497
CYY799L,Ford,Fiesta,Yellow,1971,1400
D103KRG,Volkswagen,Golf,Purple,1998,1596
D133MDA,Audi,A4,Red,1998,1298
D139DMU,Peugeot,208,Turquoise,1998,1695
D148FNU,Chrysler,Ypsilon,Yellow,1998,1799
D156VVX,Vauxhall,Astra,Blue,1998,1697
D166FAJ,Citroen,C4,Blue,1998,1498
D167NDP,Vauxhall,Corsa,Gold,1998,1300
D174YHA,Audi,A4,Purple,1998,1296
D182RLL,Hyundai,I10,Blue,1998,1496
D183XUF,Volkswagen,Polo,Yellow,1998,1600
D188VDN,Toyota,Auris,Gold,1998,2100
D191FMG,Suzuki,Celerio,Black,1998,1400
D193VXU,Perodua,Myvi,Gold,1998,1297
D199GBL,Ford,Focus,Orange,1998,1300
D201TEY,Ford,Fusion,Green,1998,1696
D230DAL,Mazda,Cx30,Blue,1998,1700
D233LDE,Ford,Fiesta,Green,1998,1398
D235ETC,Citroen,C1,Silver,1998,1395
D256ALJ,Toyota,Aygo,White,1998,1696
D283MDF,Toyota,Prius,Red,1998,1395
D292WCW,Peugeot,3008,Black,1998,1295
D300PMR,Audi,A3,Silver,1998,1100
D302EAJ,Volkswagen,Golf,Turquoise,1998,1396
D315CMU,Volkswagen,Polo,Silver,1998,1196
D318GXG,Volkswagen,Polo,White,1998,1495
D319BDM,Volkswagen,Golf,Purple,1998,1395
D341PYD,Ford,Fiesta,Black,1998,1499
D360TNG,Citroen,C3,Turquoise,1998,1597
D387KYV,Vauxhall,Astra,Purple,1998,1296
D397PWX,Suzuki,Swift,Orange,1998,1898
D411NLW,Jeep,Compass,Red,1998,1500
D413KGX,Volkswagen,Urban,Green,1998,1596
D419GHP,Bmw,X3,Red,1998,1496
D441PLR,Volkswagen,Tiguan,Green,1998,1797
D444WVE,Seat,Ibiza,Blue,1998,1400
